Power Usage,Residuallast,Pumpspeicher,Wind Offshore,Wind Onshore,Photovoltaik
74910,44415,9,139,28958,1399
74025,43162,93,192,29197,1474
72354,41448,321,224,29447,1235
70759,39941,188,249,29699,870
70284,39777,206,450,29705,352
70955,40757,228,490,29661,46
73509,43581,14,505,29423,0
72684,43827,118,500,28356,0
70040,42429,32,505,27106,0
65414,39285,137,480,25649,0
62063,38116,487,388,23559,0
59261,37361,212,296,21605,0
55018,33983,300,374,20662,0
51201,31134,840,462,19605,0
48592,28348,1301,488,19756,0
47101,26555,1267,501,20045,0
46834,24913,2234,498,21423,0
46860,23643,2408,486,22731,0
47108,22849,2313,488,23771,0
48001,21838,2155,474,25690,0
51491,24159,1845,296,27037,0
55771,27441,927,202,28074,54
58701,29579,324,182,28391,549
60665,29675,675,164,28809,2018
62660,29012,882,154,29263,4232
62648,27933,913,242,29195,5278
60788,27190,887,213,28844,4540
59083,27432,579,128,28766,2758
58055,28577,323,145,28372,961
59447,30834,244,117,28411,85
63195,34888,15,119,28188,0
63505,35602,1,138,27765,0
61438,33900,326,155,27383,0
57374,30383,148,180,26811,0
54884,28471,69,182,26231,0
53946,28664,156,220,25062,0
50776,26062,1085,274,24441,0
47395,23218,838,307,23870,0
44603,20613,1236,289,23702,0
43389,20084,1661,296,23009,0
43037,19941,1732,335,22761,0
43354,19996,1754,386,22973,0
43019,19393,1760,409,23217,0
42243,17601,3173,381,24260,0
44291,18952,2312,412,24927,0
47379,20942,1753,440,25873,124
51315,23754,897,385,26102,1074
55013,25311,158,389,26845,2469
58114,26976,194,421,27307,3410
57925,25639,564,303,27861,4121
56395,24080,942,334,28000,3981
54932,23391,652,307,28210,3025
54415,24786,607,371,27834,1425
55556,27466,638,425,27485,180
60255,31932,171,457,27862,4
61435,33181,158,479,27775,0
59926,31583,79,483,27859,0
57189,29470,356,485,27234,0
55633,28889,531,486,26257,0
55929,30551,323,487,24892,0
52577,27780,1280,486,24311,0
49292,24711,2622,491,24090,0
47603,23300,2918,492,23811,0
46880,23565,2319,492,22824,0
47390,24964,3149,492,21934,0
48761,26588,2643,493,21680,0
53131,30165,2000,492,22474,0
62312,37553,881,490,24269,0
70205,44607,26,490,25108,0
73565,47326,8,487,25671,82
73673,46536,47,489,26092,556
74857,45575,62,492,27372,1418
76031,45254,15,491,28173,2113
75873,44609,90,487,28427,2350
75452,44202,90,461,28551,2238
74055,43649,259,452,28468,1486
72970,43365,501,470,28495,640
73519,44986,218,485,27908,140
75483,47568,15,489,27423,2
75162,47394,135,497,27272,0
73107,45005,214,504,27598,0
68557,40497,1239,506,27554,0
64963,37304,1026,485,27174,0
62049,35907,576,489,25654,0
57335,32927,1378,457,23951,0
53165,30393,1104,383,22389,0
50915,29566,1552,364,20985,0
49928,29638,2060,365,19925,0
50547,30389,2588,309,19849,0
51936,31010,2422,205,20721,0
55229,33234,1817,200,21795,0
63094,39627,818,314,23154,0
70398,45971,3,399,24028,0
72563,46673,169,475,24899,515
72236,43613,486,492,24700,3431
72872,40660,290,499,24785,6927
73605,39011,347,493,24558,9543
73716,38869,499,474,23751,10623
72693,40335,155,468,22457,9433
71290,42567,68,428,21707,6589
70127,45631,177,464,21134,2899
70257,49227,68,448,20262,320
73996,54202,3,403,19389,3
73608,54309,2,419,18879,0
71057,52279,16,351,18427,0
66409,48645,47,301,17463,0
62648,44343,329,249,18056,0
59993,41554,987,256,18183,0
55517,37828,856,185,17505,0
51244,34681,1839,214,16349,0
48857,33117,2960,275,15465,0
48129,33427,3001,278,14423,0
48519,33750,3340,290,14480,0
50101,34654,3537,307,15140,0
53894,36954,2388,307,16633,0
62386,43547,1112,250,18589,0
69902,48584,275,269,21050,0
72397,50162,99,309,21761,165
71920,48634,23,356,21590,1341
73043,48633,7,376,21008,3027
74201,49477,368,358,20654,3712
73402,49221,445,413,20287,3482
73092,50877,187,424,18641,3150
71851,52946,24,427,16284,2195
70853,55294,64,428,14237,895
70707,56122,34,488,13961,137
74057,59691,6,365,13998,3
73871,59529,6,356,13987,0
71597,57224,64,371,14003,0
67424,52541,356,516,14367,0
64100,49026,650,533,14541,0
61513,46514,249,529,14471,0
57194,42527,287,536,14131,0
53592,39064,1858,543,13985,0
51638,36977,2695,545,14116,0
50666,35279,3055,539,14849,0
51027,34147,3435,524,16356,0
52215,33580,3791,511,18124,0
55499,34960,3212,511,20029,0
63638,40967,1049,512,22158,0
70599,46870,61,506,23223,0
73202,48254,60,472,24321,156
73084,46963,77,456,24700,965
74064,46096,159,503,25102,2364
