Price,Wind Offshore,Wind Onshore,Photovoltaik,Power Usage,Residuallast,Pumpspeicher
30.72,517,7029,134,70845,63165,12
29.56,525,8174,0,74557,65859,103
28.84,514,9694,0,74243,64035,86
28.2,525,10857,0,72368,60987,78
27.75,535,12268,0,68217,55414,78
27.42,535,13474,0,64957,50948,251
26.7,535,14026,0,62767,48207,359
22.11,535,14255,0,58060,43270,784
21.92,535,14502,0,54345,39308,977
19.35,534,15273,0,51968,36161,2011
16.11,534,15915,0,50900,34451,2675
14.93,531,16164,0,51068,34373,3258
15,529,16259,0,52170,35383,3086
19.04,532,16219,0,55033,38282,2448
26.17,533,16963,0,62762,45266,1852
29.41,534,17542,0,69849,51773,247
28.1,536,17503,57,72622,54526,121
28.23,527,17650,446,72598,53975,122
28.35,529,17566,1083,73542,54365,37
28.46,524,17400,1738,74739,55076,6
28.46,475,16774,2062,74060,54750,104
28.6,451,16150,1702,73265,54962,17
28.45,433,16086,1039,72203,54645,13
28.24,425,15457,414,71708,55412,228
28.43,482,16225,58,72124,55359,88
28.4,527,16448,0,74259,57284,6
27.98,528,17674,0,73550,55349,400
27.69,526,19310,0,71652,51816,167
27.46,527,20809,0,67289,45953,588
27.31,529,22042,0,63731,41160,637
26.71,529,22218,0,61268,38521,685
15.93,527,22384,0,56747,33837,1084
11.55,521,21968,0,52418,29930,2001
13.47,529,21679,0,50402,28194,2251
11.23,533,22051,0,49398,26815,2785
16,533,23158,0,49548,25857,3497
16.26,525,24532,0,51088,26032,3190
19.94,403,26011,0,54445,28031,1713
24.36,254,27146,0,62498,35097,623
29.24,192,27911,0,69598,41495,35
27.45,174,28756,55,73224,44240,44
27.38,159,29546,421,73594,43469,6
27.33,189,29566,974,74310,43582,7
27.23,139,28958,1399,74910,44415,9
27.15,192,29197,1474,74025,43162,93
27.08,224,29447,1235,72354,41448,321
27.03,249,29699,870,70759,39941,188
27.02,450,29705,352,70284,39777,206
27.12,490,29661,46,70955,40757,228
27.15,505,29423,0,73509,43581,14
27.1,500,28356,0,72684,43827,118
27.02,505,27106,0,70040,42429,32
26.96,480,25649,0,65414,39285,137
26.69,388,23559,0,62063,38116,487
21.64,296,21605,0,59261,37361,212
14.72,374,20662,0,55018,33983,300
21.94,462,19605,0,51201,31134,840
25.08,488,19756,0,48592,28348,1301
20.91,501,20045,0,47101,26555,1267
20.68,498,21423,0,46834,24913,2234
21.91,486,22731,0,46860,23643,2408
12.28,488,23771,0,47108,22849,2313
7.19,474,25690,0,48001,21838,2155
9.31,296,27037,0,51491,24159,1845
11.35,202,28074,54,55771,27441,927
15.87,182,28391,549,58701,29579,324
15.84,164,28809,2018,60665,29675,675
14.83,154,29263,4232,62660,29012,882
15.83,242,29195,5278,62648,27933,913
14.85,213,28844,4540,60788,27190,887
11.42,128,28766,2758,59083,27432,579
11.34,145,28372,961,58055,28577,323
14.15,117,28411,85,59447,30834,244
17.09,119,28188,0,63195,34888,15
18.87,138,27765,0,63505,35602,1
13.44,155,27383,0,61438,33900,326
15.82,180,26811,0,57374,30383,148
11.51,182,26231,0,54884,28471,69
11.81,220,25062,0,53946,28664,156
5.08,274,24441,0,50776,26062,1085
0.05,307,23870,0,47395,23218,838
-2.06,289,23702,0,44603,20613,1236
-4.11,296,23009,0,43389,20084,1661
-5.06,335,22761,0,43037,19941,1732
-4.12,386,22973,0,43354,19996,1754
-0.74,409,23217,0,43019,19393,1760
-0.09,381,24260,0,42243,17601,3173
0.05,412,24927,0,44291,18952,2312
0.11,440,25873,124,47379,20942,1753
4.05,385,26102,1074,51315,23754,897
5.61,389,26845,2469,55013,25311,158
9.91,421,27307,3410,58114,26976,194
8.71,303,27861,4121,57925,25639,564
0.11,334,28000,3981,56395,24080,942
0.11,307,28210,3025,54932,23391,652
0.15,371,27834,1425,54415,24786,607
6.73,425,27485,180,55556,27466,638
13.72,457,27862,4,60255,31932,171
12.44,479,27775,0,61435,33181,158
14.88,483,27859,0,59926,31583,79
9.63,485,27234,0,57189,29470,356
9.29,486,26257,0,55633,28889,531
10.18,487,24892,0,55929,30551,323
0.12,486,24311,0,52577,27780,1280
9.3,491,24090,0,49292,24711,2622
2.87,492,23811,0,47603,23300,2918
0.09,492,22824,0,46880,23565,2319
0.1,492,21934,0,47390,24964,3149
0.07,493,21680,0,48761,26588,2643
0.11,492,22474,0,53131,30165,2000
10.05,490,24269,0,62312,37553,881
17.03,490,25108,0,70205,44607,26
17.92,487,25671,82,73565,47326,8
17.66,489,26092,556,73673,46536,47
17.66,492,27372,1418,74857,45575,62
17.41,491,28173,2113,76031,45254,15
15.43,487,28427,2350,75873,44609,90
14.59,461,28551,2238,75452,44202,90
6.63,452,28468,1486,74055,43649,259
0.15,470,28495,640,72970,43365,501
15.63,485,27908,140,73519,44986,218
18.34,489,27423,2,75483,47568,15
17.86,497,27272,0,75162,47394,135
16.78,504,27598,0,73107,45005,214
15.68,506,27554,0,68557,40497,1239
13.91,485,27174,0,64963,37304,1026
14.91,489,25654,0,62049,35907,576
9.1,457,23951,0,57335,32927,1378
9.27,383,22389,0,53165,30393,1104
10.42,364,20985,0,50915,29566,1552
11.16,365,19925,0,49928,29638,2060
15.9,309,19849,0,50547,30389,2588
17.81,205,20721,0,51936,31010,2422
19.92,200,21795,0,55229,33234,1817
21.05,314,23154,0,63094,39627,818
32.37,399,24028,0,70398,45971,3
32.28,475,24899,515,72563,46673,169
28.47,492,24700,3431,72236,43613,486
26.07,499,24785,6927,72872,40660,290
25.22,493,24558,9543,73605,39011,347
25.25,474,23751,10623,73716,38869,499
24.91,468,22457,9433,72693,40335,155
25.62,428,21707,6589,71290,42567,68
28.91,464,21134,2899,70127,45631,177
26.98,448,20262,320,70257,49227,68
27.12,403,19389,3,73996,54202,3
26.98,419,18879,0,73608,54309,2
26.87,351,18427,0,71057,52279,16
26.68,301,17463,0,66409,48645,47
26.42,249,18056,0,62648,44343,329
27.02,256,18183,0,59993,41554,987
18.36,185,17505,0,55517,37828,856
16.06,214,16349,0,51244,34681,1839
15.02,275,15465,0,48857,33117,2960
11.99,278,14423,0,48129,33427,3001
13.68,290,14480,0,48519,33750,3340
13.91,307,15140,0,50101,34654,3537
16.26,307,16633,0,53894,36954,2388
27.32,250,18589,0,62386,43547,1112
30.86,269,21050,0,69902,48584,275
28.92,309,21761,165,72397,50162,99
28.76,356,21590,1341,71920,48634,23
29,376,21008,3027,73043,48633,7
28.51,358,20654,3712,74201,49477,368
27.59,413,20287,3482,73402,49221,445
27.73,424,18641,3150,73092,50877,187
27.85,427,16284,2195,71851,52946,24
28.85,428,14237,895,70853,55294,64
30.79,488,13961,137,70707,56122,34
31.87,365,13998,3,74057,59691,6
29.99,356,13987,0,73871,59529,6
28.55,371,14003,0,71597,57224,64
28.53,516,14367,0,67424,52541,356
27.96,533,14541,0,64100,49026,650
23.73,529,14471,0,61513,46514,249
16.29,536,14131,0,57194,42527,287
24.36,543,13985,0,53592,39064,1858
21.59,545,14116,0,51638,36977,2695
15.46,539,14849,0,50666,35279,3055
15.44,524,16356,0,51027,34147,3435
15.43,511,18124,0,52215,33580,3791
15.47,511,20029,0,55499,34960,3212
25.85,512,22158,0,63638,40967,1049
26.28,506,23223,0,70599,46870,61
26.55,472,24321,156,73202,48254,60
26.42,456,24700,965,73084,46963,77
26.36,503,25102,2364,74064,46096,159
26.23,512,25393,3469,75287,45914,31
26.12,525,25665,3589,74545,44766,217
26.18,526,24834,3194,73932,45377,223
26.3,527,24411,2231,72712,45543,97
26.37,526,24350,1010,71897,46011,64
26.76,527,24324,172,71717,46694,97
26.89,530,24210,6,74481,49736,1
26.65,529,24910,0,74084,48645,57
26.41,531,25703,0,72050,45816,233
26.05,528,25289,0,68000,42183,397
22.05,507,24642,0,64463,39315,635
19.01,476,23390,0,61610,37744,449
12.01,410,22666,0,56830,33754,1672
6.95,392,21589,0,52827,30846,2303
6.73,371,20750,0,50192,29072,3280
6.8,350,20718,0,48872,27804,3215
6.76,342,20084,0,49643,29218,2233
6.74,448,19076,0,51381,31857,2424
0.94,489,18159,0,55184,36536,2366
15,502,17028,0,63254,45725,997
25.09,515,16012,0,70576,54049,5
23.66,524,14906,293,72792,57070,4
22.52,526,13026,1737,72537,57248,6
24.3,533,11540,3489,72852,57290,9
22.94,540,10170,4690,73503,58103,193
21.96,542,8402,4721,72435,58771,119
24.32,450,7053,3852,70922,59567,3
26.51,430,5246,2642,69069,60752,128
23.91,436,3857,1215,67953,62445,34
27.43,446,3253,176,68420,64546,144
29.07,420,3705,4,71997,67868,131
30.08,347,3973,0,71493,67174,4
27.83,397,3985,0,69054,64673,267
27.4,376,3831,0,64621,60414,422
26.95,351,3815,0,61090,56924,197
26.85,349,3542,0,58713,54822,142
26.75,331,3335,0,54692,51025,140
26.88,445,3405,0,51457,47608,577
26.78,460,3674,0,49146,45012,1317
26.67,469,4067,0,48090,43554,2343
26.7,451,4413,0,47688,42825,2890
26.66,455,4733,0,47909,42721,3379
26.74,471,4894,0,47738,42373,2980
26.87,475,5114,0,48451,42862,1539
27.2,467,5298,0,52168,46404,756
27.61,459,5844,92,56140,49745,332
27.99,491,5688,917,59469,52374,413
28.35,505,5116,2494,61586,53470,144
28.53,517,4578,4013,62703,53595,125
27.42,457,4565,4695,61693,51976,181
27.52,416,4950,4342,59572,49866,624
27.09,415,4879,3118,57594,49183,911
27.27,459,3958,1478,56717,50822,186
27.78,507,3720,254,57596,53116,172
28.23,505,4627,5,62107,56971,62
28.1,514,5866,0,63158,56778,301
27.74,519,6390,0,61100,54191,277
27.24,514,6383,0,57040,50143,123
26.93,511,6853,0,54798,47435,128
27.46,520,6973,0,54047,46554,322
24.5,520,6748,0,51037,43769,1724
23.35,445,6871,0,48038,40722,907
21.19,414,7008,0,46235,38814,1481
22.24,431,6935,0,44985,37619,2116
22.31,414,7286,0,44450,36750,2300
22.32,404,7434,0,44238,36400,2424
22.11,439,7308,0,43652,35905,2399
24.9,384,7204,0,42944,35355,2701
26.68,358,7486,0,44769,36925,2325
27.03,323,6969,249,47870,40330,1058
27.22,309,6335,1890,51544,43011,740
27.24,267,5599,4117,54851,44868,604
28.22,245,4986,5860,58089,46998,404
28.15,183,4602,6597,57896,46514,353
27.85,109,4073,5981,55463,45300,236
28.17,104,3610,4297,53417,45406,90
29.24,86,3265,1987,52624,47286,144
30.44,39,3194,276,53503,49995,235
31.94,70,3408,6,58798,55315,42
32.45,67,3924,0,60460,56470,2
30.94,48,4076,0,59281,55157,229
29.8,35,3943,0,56678,52701,625
29.63,21,3813,0,55060,51226,434
28.54,20,3588,0,55553,51946,412
28.42,27,3350,0,52713,49336,555
27.92,26,3002,0,49559,46532,1386
27.7,12,2530,0,47878,45337,2039
27.65,10,2101,0,47214,45103,1961
27.73,7,1739,0,47515,45769,1973
28.07,11,1414,0,49084,47659,2400
28.92,9,1247,0,52906,51651,2455
31.12,7,1339,0,62121,60775,1138
37.83,5,1535,0,69951,68411,4
45.36,7,1624,293,72507,70584,8
42.65,9,1456,1552,72885,69868,7
36.31,14,1187,3179,73886,69507,16
34.41,12,897,4473,74695,69314,120
44.97,13,755,4874,74270,68628,589
46.15,15,728,4487,73818,68588,236
46.08,18,704,3145,72773,68906,323
34.37,20,791,1437,72009,69762,311
33.73,25,965,238,71751,70523,125
41.95,31,1151,6,74872,73685,1
33.12,30,1281,0,74764,73454,1
31.46,36,1269,0,72857,71552,14
30.27,42,1259,0,68318,67017,187
29.74,47,1290,0,64849,63513,307
28.98,39,1315,0,62029,60676,293
28.46,39,1302,0,57435,56094,712
28.62,43,1245,0,54136,52849,1899
28.22,61,1134,0,52046,50852,3133
28.07,56,1121,0,51114,49938,2890
28.02,48,1046,0,51547,50453,2738
28.39,52,921,0,52535,51562,2617
29.17,61,838,0,55681,54783,2079
31.76,55,802,0,63477,62621,871
50.08,63,803,0,70789,69923,28
57.52,50,798,93,73615,72673,1
53.7,43,714,628,73894,72510,1
53.01,34,572,1230,75028,73192,4
53.02,29,442,1780,75590,73339,1
47.73,29,339,2211,75067,72488,8
47.76,26,312,2183,74495,71974,10
47.69,50,324,1654,73451,71423,10
44.49,52,334,843,72726,71497,16
46.11,63,327,164,72150,71597,84
57.48,36,424,6,75533,75067,3
46.12,38,485,0,75179,74656,5
44.4,44,495,0,72987,72448,86
30.69,66,499,0,68904,68339,191
30.45,91,603,0,65269,64575,278
29.51,94,627,0,62204,61484,925
28.5,102,690,0,58059,57268,1172
28.12,88,764,0,54541,53689,2282
27.87,65,776,0,52369,51529,2695
27.78,73,799,0,51519,50647,3037
27.85,98,797,0,51837,50942,3151
28.24,108,819,0,52801,51874,3250
29.59,109,951,0,55976,54917,1835
33.04,87,1167,0,63647,62393,359
49.67,59,1380,0,70840,69402,7
55.34,65,1567,178,73369,71560,19
55.33,100,1598,1305,73567,70565,72
54.96,104,1372,2662,74580,70442,2
53.44,85,1198,3937,75092,69872,143
48.49,73,1066,4720,74333,68474,52
48.4,52,1153,4370,73741,68166,16
48,49,1281,3081,72732,68321,12
48.8,69,1554,1562,71918,68733,18
51.02,88,2100,300,71671,69184,9
55.47,112,2647,6,75167,72403,58
55.36,126,3242,0,75433,72065,62
38.08,149,3682,0,73400,69570,64
33.28,162,3777,0,69058,65119,243
32.96,156,3807,0,65577,61613,572
31.76,135,3861,0,62753,58758,900
29.55,114,3881,0,58453,54459,1947
28.96,106,3578,0,55114,51430,2281
28.69,107,3371,0,53152,49674,3026
28.31,103,3276,0,52215,48837,3297
28.26,102,3228,0,52153,48824,3318
28.82,110,3322,0,53007,49575,3324
30.34,90,3572,0,55960,52299,2298
35.24,99,3548,0,63540,59893,952
47.25,104,3409,0,71056,67543,95
53.79,96,3281,152,73628,70100,61
49.31,76,3005,856,73931,69996,1
49.32,72,2607,1748,74997,70570,3
48.69,60,2289,2434,75687,70904,9
47.46,45,2015,2472,74997,70467,15
45.84,32,1920,2123,74532,70458,17
48.3,25,1884,1520,73975,70546,17
48.79,14,1884,683,73211,70630,19
51.99,10,1993,125,72891,70763,29
58.35,9,2207,6,75651,73428,62
55.62,7,2347,0,75593,73239,62
44.83,2,2298,0,73481,71181,61
43.2,1,2173,0,69349,67175,254
39.86,4,2102,0,65786,63681,229
32.62,11,1924,0,63221,61286,515
30.22,6,1794,0,58808,57008,1033
30.08,2,1664,0,55062,53395,1943
29.25,2,1565,0,53035,51468,2462
28.86,2,1487,0,52018,50529,3372
28.78,3,1471,0,52321,50847,3390
29.39,3,1510,0,53342,51829,2907
31.71,2,1422,0,56222,54798,2472
35.38,3,1416,0,63516,62096,919
54.28,2,1393,0,70883,69489,95
53.56,3,1257,47,73500,72194,103
57.68,19,1030,350,73586,72187,30
56.97,50,873,819,74608,72867,39
55.75,80,751,1275,74984,72879,23
48.09,122,673,1485,74107,71828,197
46.43,189,623,1401,72893,70680,68
44.76,242,585,1023,71574,69724,50
38.92,273,599,508,70635,69255,35
44.1,372,649,100,70771,69650,32
48.06,331,740,7,73778,72700,5
44.82,364,839,0,73501,72299,55
26.77,424,1032,0,70966,69510,199
29.05,461,1475,0,66568,64632,355
31.13,476,2149,0,63202,60577,139
26.11,487,2810,0,61138,57842,290
27.89,487,3439,0,57989,54064,660
27.46,484,3928,0,54993,50582,796
27.04,492,4328,0,52531,47711,1999
24.44,496,5046,0,53475,47933,2943
24.29,502,6144,0,53821,47175,2434
24.78,510,6847,0,53771,46414,2186
24.99,513,6998,0,51931,44421,2166
23.94,510,7403,0,50385,42472,1938
24.26,498,7588,0,53842,45756,1573
27.6,456,7452,157,57575,49510,296
29.01,392,7184,737,61126,52813,47
29.15,410,6631,1221,63459,55197,87
29.19,450,5717,1730,64882,56986,31
29.15,470,4935,2017,64272,56851,136
29.11,416,4757,1920,62043,54950,199
29.06,487,4349,1324,60453,54294,171
29.11,457,4416,635,59493,53986,11
29.28,458,4776,90,59800,54475,161
29.44,426,5197,4,63792,58166,146
29.38,529,5751,0,64729,58449,172
29.26,527,6165,0,62446,55754,310
29.35,507,6522,0,58399,51370,479
27.97,553,6566,0,55997,48879,73
28.11,576,6491,0,55706,48639,196
27.41,625,6871,0,52929,45433,830
25.02,623,6985,0,49680,42072,1088
24.89,616,7306,0,47660,39739,2284
25.03,595,7231,0,46362,38535,2295
25.07,570,7182,0,45651,37899,2127
25.92,562,6885,0,45438,37991,2049
26.68,506,6614,0,44816,37696,1899
27.04,471,6201,0,43694,37023,1864
27.39,459,5974,0,45505,39073,789
27.98,463,5550,126,48261,42123,363
28.71,428,5185,727,52247,45908,15
29.26,393,4385,1387,55736,49570,74
29.4,329,3922,2016,58475,52208,240
29.36,297,3675,2317,58083,51795,305
29.25,246,3369,2242,56087,50229,452
29.13,214,3082,1692,54587,49600,229
29.26,151,2903,877,53925,49995,76
30.29,122,2923,177,54693,51471,287
30.4,94,2882,9,59517,56532,78
30,105,2854,0,61442,58484,22
29.69,156,2778,0,60020,57086,141
29.38,231,2663,0,57419,54526,387
29.13,291,2447,0,55928,53190,415
28.83,312,2343,0,56298,53644,151
28.07,375,2337,0,53534,50823,394
26.93,440,2603,0,50386,47343,1579
26.13,490,2936,0,48471,45045,2234
25.54,554,3277,0,47894,44063,2314
25.41,605,3680,0,48227,43943,2493
25.8,633,4196,0,49867,45039,2303
27.09,646,4641,0,53871,48585,2148
28.64,656,5210,0,62976,57110,813
29.4,634,5947,1,70361,63780,160
30,651,6484,141,73186,65911,30
29.93,677,7184,542,73456,65053,29
29.75,675,7825,1103,74965,65364,28
29.62,556,8488,1772,76078,65262,24
29.46,585,9234,2251,75799,63730,7
29.44,619,9709,2249,75245,62668,8
29.41,649,9905,1584,74056,61918,12
29.36,559,10359,791,73081,61373,6
29.56,544,11174,157,72521,60646,4
30.26,578,12270,7,75099,62244,26
29.46,623,13219,0,75139,61297,155
29.37,634,13355,0,73289,59300,97
