Wind Onshore [MWh] Berechnete Auflösungen
28710.5
29305
29266
27008.5
26438.75
26795
26622.75
27122.5
26418.5
2513
24164.75
23091
21555.75
20338.5
20452.25
22203.25
20893
1981
19539.5
19164.25
19560.25
19429.5
18481
18233.25
18602.25
19121.75
20986.75
22609.25
24661
25778
27653.75
29141
30437.75
30259.5
28423
27215.25
26708.25
25670.25
24743.25
23382.25
22559.75
22535.25
23078.5
22730.75
22084
21247
20275
19668.75
1896
17966
16597.75
15275.75
14036
13024.5
12415.5
12052.5
11547
10563.5
9127.5
7481
7187.75
7336.5
7010.5
7039.25
8276.25
10710.75
13050.5
16068.25
19492.25
22120.25
23488
25678.75
27574.25
29517.75
29941.5
28746.5
29346.25
33525
40097.5
42050.5
42708.25
43273.25
43571
43803.25
44096.5
44325.5
44156
44313.25
44080.25
44799.25
44596.25
44427.25
44547.75
44332
42978.25
42044.25
37511
36478.5
35940.25
35763
37508.5
39607.5
40028
39378.75
37541.25
34983.25
32451.25
31175.5
2965
26896.25
23179.5
19524
16545.25
14576.25
12717.5
11458
10637.5
10156.25
10203.5
10580.75
11408.75
12461
14295
16203.5
18318.75
20619
23272.5
25165.75
27564.25
29089.25
29676.25
28805.5
28614.75
28781.5
26695.75
23650.5
20867.25
19572.75
19305
18896.25
18401
18236.5
17331.25
16226.25
15179.25
14544.75
14678.25
14760.25
14895
14998.5
15281
15856.25
16153.5
15633
14868.75
1485
15029
14678.75
14912.25
15934.5
18551.5
21858
25026
26426.5
27136
27129
26347.75
26466
25566.25
24607.75
23397.75
22029.75
21250.75
20476
19516.5
19571.25
20027.75
20402.5
19201.25
18446.5
18090.75
17023.25
16261
1574
17080.5
18347.75
18750.5
18345.25
18458.5
18680.75
19141
19934.75
20678.25
20600.75
20583
20135.75
19184.5
19205.75
19481
20953.5
22251.25
21680.75
21210.5
21014
19460.5
17343.5
15491.5
14078.5
14457.5
14904
15731
16224.25
16943
17075
17026
16925
17213.5
17784.75
18123.25
18089.25
18663
18392.5
17845.25
17156.25
16349
16425.75
1654
16496
16545.75
16606.25
16408
17028.75
19454
22803.5
26180.5
29069.25
32074.5
34126.75
34281.5
34820.25
32254
30634
30825.75
29660.25
30545.75
33419.5
34468.25
31516
28316.5
25645.25
24105.75
22445
21942
22766.75
23226.25
23342.75
24024
25524
27963.75
30623.75
32325.25
33815.25
34932.5
36705.75
38102.25
37146.25
35194.75
34537
34690.5
37583.5
39363.75
41008.25
42405.75
43552.5
44445.5
45019.5
44844.5
43606
41843.75
39385.25
37058.25
36146
36893.5
38198.5
39703
41197.25
41057.75
40767.25
39640.5
39010.5
38066.25
37503.25
35747.75
36457.75
3646
36188.25
36721.25
36643
37577.25
39054
40547.25
41427.75
41366
40874.25
4112
41317.5
41895.75
41627.5
40916.5
40066.25
38219.25
37033
36355.75
34706
33174
31670.75
29450.5
27412.5
26273.75
25797.25
26644.5
27149.75
28675.5
31089.5
33487.5
36134.75
38895.5
41397
43230.5
44038
45285.25
44680.25
43516.75
42116.25
39193.75
37557.25
36709.25
35815.25
34083.5
32587
31549
30973.5
30926
30947
32415.5
33742.75
3599
38671
40544
40439
40951.75
41519.25
42979.5
43758.25
44215.75
42553.75
41068.5
38618
35616.25
32969.75
29679.75
26881.75
24607.75
22692
20599
19509.25
19249.25
20156.5
21858.25
22268.25
22027.25
22792.5
23983.5
25684.5
26791.25
27822.25
28569.75
29291.5
29539
29817
29340.5
28979.25
27820.75
26594.5
26458.75
26459.75
27094
27489.25
26950.75
25846.5
26488.5
26140.75
23536.25
20466
18294.75
17486.75
15871.25
13909.25
12060.75
10301.75
9606.75
1057
11116.75
11752
12717.5
11832.75
11391.75
11052
10066.25
8776
8066.75
7000.25
7052.75
7204.5
7007
6934.5
7573.5
7153
6750.25
6263.25
5895.25
5978.75
6725.25
7441.25
9671.75
12502.25
15097.5
17303.5
19012.25
20506.25
21260.25
22756
23907
24343.5
24244.25
24066.25
24175.5
24112.25
23960.75
22702.75
20692.5
19537.25
18398.5
16777.5
15485
14671.25
13814.75
12733.75
12371
11931.75
11942
11638
10719.25
10522.75
9933.25
9216.5
8702.25
8021
6950.75
6183.25
5889.75
5343
4767
4117.75
3417
2959.75
2456.25
207
1736.25
1642.75
1410.25
1374.5
1526
1693
1744.25
1913.5
2316
2802
3384.25
4001.75
4494.5
5056.5
5642.75
6041.75
6523.5
7242.75
7893.25
8026.5
8256
8636.25
9595.75
10083
10685.75
11900.5
14095.75
15906.25
18329.25
20482
21284
21356.75
21246.25
21119.5
20428.5
19537.5
18530.5
17933
16909.75
15482.25
14423.25
13535.75
12531
11260.25
10600.5
9882
8899.75
7852
6942.5
6310.5
5958
5668.5
5617.5
5580.5
5578.5
5345.25
5119.5
4770.75
4395.75
4195.75
4062.25
4048
4149.5
3995.75
3697
3782
3770.5
3793
3700.5
3515
3374
3316.75
3491
3729.25
4014
472
5762.5
7030.25
7808.75
7909
785
7550.75
7135
6787.25
6781.5
6813.75
6816.5
6591
6073
5650.25
5198.25
4730.5
4469.5
4024.75
3411
2933.25
2491.25
2228.75
2184.25
2253
2265.25
2122.5
1899.25
1516
1166
773.5
626
616.75
748.25
856.25
889
990.75
1054
1207.5
1341.25
1491
1681
1735.5
1916.25
2182.25
2305.75
2348.75
2309
2253
2315
2247.25
2235.75
2012
1953.25
1851.5
1545.5
1296.75
1068
791.75
475
297.75
239.25
229.5
382.75
720.5
929
1120.5
1158
1202
1478.5
1861
2186.5
1959
2140.5
3266
4798.75
5733.75
6071
5671
5954.25
6754.25
7305.75
7600.25
7720.25
7987.75
8215.25
8347.75
8095.25
8005.75
8006.5
7906.5
7959.75
8007.25
7757.5
7764.5
7654.5
7315
6967
6913
6839.5
6523.25
6015.25
5440.25
465
3802.75
2981.25
2504.75
2346.25
2349
2360.5
2305
2207
2205.5
2055.25
1885.75
1868.75
1842.5
2111.25
2241.25
2571.5
2964.5
3503.75
4509
5469.25
6143
6805.25
6789
6686.75
7084.25
7916.25
8259.5
8568.5
8767.25
9530.25
10086
10669.5
11151.5
12498.75
13820.25
14458.75
15526.25
16042.25
16956.5
17209
17545.5
19664.25
22592
24780.25
27458
28831
29536.75
29107.5
29724.75
30219.75
30006
30473
30653.25
30354.5
30922
31306.5
31855.25
31948.25
32209.25
3339
33927.5
33890.25
33744.5
33974.25
34222.5
33574.5
33377
34222
33977.75
33069.25
31568
30177.75
28287
27855.75
27071.25
26197.5
25763.5
25241.25
24707.25
25283.25
26907.75
28730.75
29625.25
31015.25
32654
34263
34889.5
36541
37301.5
37999.5
38485.75
37923.75
37224.75
37291.5
37296.5
36116.25
35847.25
35685.5
35554.5
34544.5
35673
36588.75
37509.75
37306.5
38396.25
38765
38006.75
38047.25
38051.25
37633.5
37601.5
37935.25
39103
39430.25
40061.75
40364
40239.25
40132.25
39628.5
39217.75
38845.75
38313.25
37915.5
37748
36942.75
35929.25
34115
32484.25
29572.75
27066.75
24544.25
22793.75
21675.5
20661
18826.75
16304.25
13663
12188
11675.25
12337
13684
15567.75
18248.25
21352.75
24374.5
28036.75
31251.5
33894.25
35589.5
37519.25
38507
39717.25
40428
40644.5
40614.25
40789.25
41662.75
41850.75
41242.75
41298
41747.25
40956.5
39715.75
39407.5
39129.75
37685.25
35821.5
32559.5
30358
27392.5
23125
19196.75
15353
11717
9138
7338.5
5957.25
4562.25
3287.75
1891.25
1617.75
1779
1913.5
2091.5
2076.75
2230.75
2381.5
2749
3225.25
3761
4579.25
5142.75
5421.75
5703.25
6383.25
6746
6643.25
6518.5
6279.5
6101
6152.75
6575.75
7160.25
7317.5
7672.75
