Photovoltaik [MWh] Berechnete Auflösungen
0
0
0
0
0
0
0
0
53
773.25
2116.75
3364.25
4198.25
3500.5
2278.75
745.5
50
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
38
252.5
666.75
1262.5
1726
1899.25
1352.25
516.25
45.5
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
73.5
608
1278.5
17
1617.5
1155
586.5
194.5
21.25
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
58
974
2771
4150.75
4579.25
3992.5
2421.25
952
83.75
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
92.75
1057.5
2986
4769.75
5869.5
5666.5
4095
1787.5
197.75
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
183
2055
4693.5
6658.25
7272.5
6350.75
3958
1553.5
162.75
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
50.5
608.75
1812.5
3060.25
3777.25
3714.75
2800.25
1156.75
133.75
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
57
446.25
1082.5
1738.25
2061.75
1702
1038.75
413.75
58
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
54.5
421
973.75
1398.5
1473.5
1234.75
870.25
351.5
46
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
54.25
549.25
2017.5
4231.5
5277.75
4540.25
2758.25
961
85.25
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
123.75
1074.25
2468.5
341
4121
3981
3024.5
1424.5
179.5
4.25
0
0
0
0
0
0
0
0
0
0
0
0
0
0
81.5
556.25
1417.75
2113
2350.25
2238.25
1485.75
640
140
2.25
0
0
0
0
0
0
0
0
0
0
0
0
0
0
515.25
3431
6927
9543.25
10623.25
9433.25
6588.5
2898.75
320.25
3.25
0
0
0
0
0
0
0
0
0
0
0
0
0
0
165.25
1340.75
3027
3712.25
3482.25
3150.25
2194.5
894.5
136.5
2.75
0
0
0
0
0
0
0
0
0
0
0
0
0
0
155.5
965
2364.25
3469.25
3589
3194.25
2231.25
1009.5
171.5
5.5
0
0
0
0
0
0
0
0
0
0
0
0
0
0
292.5
1737.25
3488.5
469
4720.5
3852.25
2642
1214.75
175.75
4.25
0
0
0
0
0
0
0
0
0
0
0
0
0
0
91.5
916.5
2494.25
4013.25
4694.75
4341.75
3117.5
1478
253.5
4.5
0
0
0
0
0
0
0
0
0
0
0
0
0
0
249
1890.25
4117
5860.25
6597
5980.75
4296.75
1986.75
275.5
5.75
0
0
0
0
0
0
0
0
0
0
0
0
0
0
292.75
1552
3178.5
4472.75
4874
4486.75
3145.25
1436.5
238
5.5
0
0
0
0
0
0
0
0
0
0
0
0
0
0
93.25
628
1229.75
1780.25
2210.75
2183
1653.75
842.75
163.75
5.5
0
0
0
0
0
0
0
0
0
0
0
0
0
0
177.5
1305
2661.75
3937
4720.25
437
3081
1562
300.25
6
0
0
0
0
0
0
0
0
0
0
0
0
0
0
151.5
855.5
1748.25
2434
2471.75
2122.75
1519.75
683
125.25
6.25
0
0
0
0
0
0
0
0
0
0
0
0
0
0
46.75
350
818.5
1274.75
1484.5
1401
1023.25
507.75
99.5
7
0
0
0
0
0
0
0
0
0
0
0
0
0
0
156.5
737
1220.5
1730.25
2017
192
1323.75
634.5
90
4
0
0
0
0
0
0
0
0
0
0
0
0
0
0
125.75
726.5
1387.25
2016
2317.25
2242
1692.25
877
177.25
8.75
0
0
0
0
0
0
0
0
0
0
0
0
0
0.5
140.5
542
1102.5
1772.25
2250.5
2248.75
1583.75
790.5
157
6.75
0
0
0
0
0
0
0
0
0
0
0
0
0
0
139.25
1033
2223
3309.75
3722.5
3208.75
2337.75
1294.25
292
12.25
0
0
0
0
0
0
0
0
0
0
0
0
0
0.25
142.75
899.5
1895.75
2847.25
3445
3301.75
2437.75
1299
299.25
11.75
0
0
0
0
0
0
0
0
0
0
0
0
0
1
375.25
2340.75
4194.75
5281.75
5502
4717.25
3317.5
1690.75
348.75
12.75
0
0
0
0
0
0
0
0
0
0
0
0
0
0.75
136.5
739.75
1549.5
2236.25
2699
2607
2101
1113.5
267.25
12.25
0
0
0
0
0
0
0
0
0
0
0
0
0
1.25
152
761.25
1846.5
3168
3935.75
4203.75
3564.75
2033.25
524
21.25
0
0
0
0
0
0
0
0
0
0
0
0
0
2.5
356.25
1771.75
3424.25
4372
4738.25
4365.5
3309.5
1884.5
